date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:22	62511/62511	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Mar%202022%2004:32:02%20GMT	https://ifixandrepair.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=4.0.4	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/plugins/woocommerce/assets/css/woocommerce5fc8.css	(from https://ifixandrepair.com/)
12:04:22	1638/1638	---MC-	200	added ('OK')	application/rss+xml	etag:%229e4e86f184d31512946336a82e81ad9f%22	https://ifixandrepair.com/comments/feed/	C:/My%20Web%20Sites/zip/ifixandrepair.com/comments/feed/index.html	(from https://ifixandrepair.com/)
12:04:22	14132/14132	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/plugins/wp-store-locator/css/styles.min.css?ver=2.2.23	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/plugins/wp-store-locator/css/styles.mindfa6.css	(from https://ifixandrepair.com/)
12:04:23	153182/153182	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Nov%202019%2019:21:42%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/bootstrap.min.css?ver=1	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/bootstrap.min68b3.css	(from https://ifixandrepair.com/)
12:04:23	42826/42826	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Nov%202019%2019:21:42%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/animate.css?ver=1	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/animate68b3.css	(from https://ifixandrepair.com/)
12:04:23	48595/48595	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Nov%202019%2019:21:42%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/fontawesome-all.css?ver=1	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/fontawesome-all68b3.css	(from https://ifixandrepair.com/)
12:04:23	28101/28101	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Nov%202019%2019:21:42%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/line-awesome.min.css?ver=1	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/line-awesome.min68b3.css	(from https://ifixandrepair.com/)
12:04:24	7302/7302	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Nov%202019%2019:21:42%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/magnific-popup/magnific-popup.css?ver=1	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/magnific-popup/magnific-popup68b3.css	(from https://ifixandrepair.com/)
12:04:24	7045/7045	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Nov%202019%2019:21:42%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/owl-carousel/owl.carousel.css?ver=1	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/owl-carousel/owl.carousel68b3.css	(from https://ifixandrepair.com/)
12:04:24	27282/27282	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Apr%202021%2019:58:30%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/base.css?v=1.0.14&ver=1	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/baseba2c.css	(from https://ifixandrepair.com/)
12:04:24	50728/50728	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Apr%202021%2020:02:06%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/shortcodes.css?v=1.0.7&ver=1	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/shortcodes23ae.css	(from https://ifixandrepair.com/)
12:04:24	57756/57756	---M--	200	added ('OK')	text/css	date:Wed,%2031%20Mar%202021%2022:05:47%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/style.css?v=1.0.7&ver=1	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/style23ae.css	(from https://ifixandrepair.com/)
12:04:25	38267/38267	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Nov%202019%2019:21:42%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/loaders.min.css?ver=1	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/loaders.min68b3.css	(from https://ifixandrepair.com/)
12:04:25	19571/19571	---M--	200	added ('OK')	text/css	date:Wed,%2025%20Nov%202020%2015:35:54%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/responsive.css?ver=1	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/responsive68b3.css	(from https://ifixandrepair.com/)
12:04:25	1022/1022	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Nov%202019%2019:21:42%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/leaflet-gesture-handling.min.css?ver=1	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/leaflet-gesture-handling.min68b3.css	(from https://ifixandrepair.com/)
12:04:25	10599/10599	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/vendor/leaflet/leaflet.min.css?ver=5.7.8	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/vendor/leaflet/leaflet.mind988.css	(from https://ifixandrepair.com/)
12:04:26	0/0	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/custom.css?ver=1	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/custom68b3.css	(from https://ifixandrepair.com/)
12:04:27	5222/5222	---M-Z	200	added ('OK')	text/css	etag:%221121b4a-1466-5712f444e15da-gzip%22	https://cdn.datatables.net/1.10.19/css/dataTables.bootstrap4.min.css?ver=5.7.8	C:/My%20Web%20Sites/zip/cdn.datatables.net/1.10.19/css/dataTables.bootstrap4.mind988.css	(from https://ifixandrepair.com/)
12:04:27	985/985	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Apr%202020%2022:17:29%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/woocommerce.css?ver=1	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/css/woocommerce68b3.css	(from https://ifixandrepair.com/)
12:04:29	1358/1358	---MC-	200	added ('OK')	application/json	date:Wed,%2005%20Apr%202023%2009:04:05%20GMT	https://ifixandrepair.com/wp-json/wp/v2/pages/6	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-json/wp/v2/pages/6.json	(from https://ifixandrepair.com/)
12:04:30	816/816	---MC-	200	added ('OK')	text/xml	date:Wed,%2005%20Apr%202023%2009:04:07%20GMT	https://ifixandrepair.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/zip/ifixandrepair.com/xmlrpc0db0.php	(from https://ifixandrepair.com/)
12:04:30	859535/859535	---MC-	200	added ('OK')	application/json	date:Wed,%2005%20Apr%202023%2009:04:05%20GMT	https://ifixandrepair.com/wp-json/	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-json/index.html	(from https://ifixandrepair.com/)
12:04:30	1045/1045	---M--	200	added ('OK')	application/xml	date:Fri,%2001%20Nov%202019%2019:21:42%20GMT	https://ifixandrepair.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-includes/wlwmanifest.xml	(from https://ifixandrepair.com/)
12:04:31	2223/2223	---MC-	200	added ('OK')	application/json	date:Wed,%2005%20Apr%202023%2009:04:08%20GMT	https://ifixandrepair.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fifixandrepair.com%2F	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-json/oembed/1.0/embed1bd3.json	(from https://ifixandrepair.com/)
12:04:32	2317/2317	---MC-	200	added ('OK')	text/xml	date:Wed,%2005%20Apr%202023%2009:04:09%20GMT	https://ifixandrepair.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fifixandrepair.com%2F&format=xml	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-json/oembed/1.0/embedd931	(from https://ifixandrepair.com/)
12:04:32	7956/7956	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/loading.png	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/loading.png	(from https://ifixandrepair.com/)
12:04:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2009:04:10%20GMT	https://ifixandrepair.com/franchising	C:/My%20Web%20Sites/zip/ifixandrepair.com/franchising	(from https://ifixandrepair.com/)
12:04:34	10714/10714	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/logo.png	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/logo.png	(from https://ifixandrepair.com/)
12:04:34	57951/57951	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2009:04:11%20GMT	https://ifixandrepair.com/franchising/	C:/My%20Web%20Sites/zip/ifixandrepair.com/franchising/index.html	(from https://ifixandrepair.com/)
12:04:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2009:04:11%20GMT	https://ifixandrepair.com/repair-services	C:/My%20Web%20Sites/zip/ifixandrepair.com/repair-services	(from https://ifixandrepair.com/)
12:04:35	72120/72120	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2009:04:12%20GMT	https://ifixandrepair.com/repair-services/	C:/My%20Web%20Sites/zip/ifixandrepair.com/repair-services/index.html	(from https://ifixandrepair.com/)
12:04:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2009:04:13%20GMT	https://ifixandrepair.com/locations	C:/My%20Web%20Sites/zip/ifixandrepair.com/locations	(from https://ifixandrepair.com/)
12:04:36	98620/98620	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2009:04:13%20GMT	https://ifixandrepair.com/locations/	C:/My%20Web%20Sites/zip/ifixandrepair.com/locations/index.html	(from https://ifixandrepair.com/)
12:04:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2009:04:13%20GMT	https://ifixandrepair.com/about	C:/My%20Web%20Sites/zip/ifixandrepair.com/about	(from https://ifixandrepair.com/)
12:04:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2009:04:14%20GMT	https://ifixandrepair.com/contact	C:/My%20Web%20Sites/zip/ifixandrepair.com/contact	(from https://ifixandrepair.com/)
12:04:37	48374/48374	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2009:04:14%20GMT	https://ifixandrepair.com/about/	C:/My%20Web%20Sites/zip/ifixandrepair.com/about/index.html	(from https://ifixandrepair.com/)
12:04:38	2015/2015	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/vendor/leaflet/images/blue_iFix@2x.png	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/vendor/leaflet/images/blue_iFix@2x.png	(from https://ifixandrepair.com/)
12:04:38	86202/86202	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2009:04:15%20GMT	https://ifixandrepair.com/contact/	C:/My%20Web%20Sites/zip/ifixandrepair.com/contact/index.html	(from https://ifixandrepair.com/)
12:04:38	37675/37675	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/logo_white.png	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/logo_white.png	(from https://ifixandrepair.com/)
12:04:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2009:04:16%20GMT	https://ifixandrepair.com/%22https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/bg/bannerdesktop.jpg%22	C:/My%20Web%20Sites/zip/ifixandrepair.com/_https_/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/bg/bannerdesktop.jpg_	(from https://ifixandrepair.com/)
12:04:40	36032/36032	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Apr%202023%2009:04:17%20GMT	https://ifixandrepair.com/%22https:/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/bg/bannerdesktop.jpg	C:/My%20Web%20Sites/zip/ifixandrepair.com/_https_/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/bg/bannerdesktop.jpg	(from https://ifixandrepair.com/)
12:04:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2009:04:18%20GMT	https://ifixandrepair.com/iphone-repairs	C:/My%20Web%20Sites/zip/ifixandrepair.com/iphone-repairs	(from https://ifixandrepair.com/)
12:04:41	4018/4018	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/devices/smartphone.png	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/devices/smartphone.png	(from https://ifixandrepair.com/)
12:04:42	60773/60773	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2009:04:19%20GMT	https://ifixandrepair.com/iphone-repairs/	C:/My%20Web%20Sites/zip/ifixandrepair.com/iphone-repairs/index.html	(from https://ifixandrepair.com/)
12:04:42	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2009:04:19%20GMT	https://ifixandrepair.com/samsung-repairs	C:/My%20Web%20Sites/zip/ifixandrepair.com/samsung-repairs	(from https://ifixandrepair.com/)
12:04:42	4084/4084	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Oct%202020%2019:59:43%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/devices/smartphone2.png	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/devices/smartphone2.png	(from https://ifixandrepair.com/)
12:04:43	80925/80925	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2009:04:20%20GMT	https://ifixandrepair.com/repair-services/smartphone-repairs/samsung-repairs/	C:/My%20Web%20Sites/zip/ifixandrepair.com/repair-services/smartphone-repairs/samsung-repairs/index.html	(from https://ifixandrepair.com/)
12:04:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2009:04:20%20GMT	https://ifixandrepair.com/smartphone-repairs	C:/My%20Web%20Sites/zip/ifixandrepair.com/smartphone-repairs	(from https://ifixandrepair.com/)
12:04:43	4050/4050	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/devices/other-smartphones.png	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/devices/other-smartphones.png	(from https://ifixandrepair.com/)
12:04:44	45628/45628	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2009:04:21%20GMT	https://ifixandrepair.com/repair-services/smartphone-repairs/	C:/My%20Web%20Sites/zip/ifixandrepair.com/repair-services/smartphone-repairs/index.html	(from https://ifixandrepair.com/)
12:04:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2009:04:21%20GMT	https://ifixandrepair.com/tablet-repairs	C:/My%20Web%20Sites/zip/ifixandrepair.com/tablet-repairs	(from https://ifixandrepair.com/)
12:04:45	3860/3860	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/devices/tablet.png	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/devices/tablet.png	(from https://ifixandrepair.com/)
12:04:45	44812/44812	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2009:04:22%20GMT	https://ifixandrepair.com/repair-services/tablet-repairs/	C:/My%20Web%20Sites/zip/ifixandrepair.com/repair-services/tablet-repairs/index.html	(from https://ifixandrepair.com/)
12:04:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2009:04:22%20GMT	https://ifixandrepair.com/computer-repairs	C:/My%20Web%20Sites/zip/ifixandrepair.com/computer-repairs	(from https://ifixandrepair.com/)
12:04:46	3826/3826	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/devices/macbook.png	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/devices/macbook.png	(from https://ifixandrepair.com/)
12:04:47	42315/42315	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2009:04:23%20GMT	https://ifixandrepair.com/repair-services/computer-repairs/	C:/My%20Web%20Sites/zip/ifixandrepair.com/repair-services/computer-repairs/index.html	(from https://ifixandrepair.com/)
12:04:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2009:04:24%20GMT	https://ifixandrepair.com/game-console-repairs	C:/My%20Web%20Sites/zip/ifixandrepair.com/game-console-repairs	(from https://ifixandrepair.com/)
12:04:47	12788/12788	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/devices/game-console.png	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/devices/game-console.png	(from https://ifixandrepair.com/)
12:04:48	42617/42617	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2009:04:24%20GMT	https://ifixandrepair.com/repair-services/game-console-repairs/	C:/My%20Web%20Sites/zip/ifixandrepair.com/repair-services/game-console-repairs/index.html	(from https://ifixandrepair.com/)
12:04:48	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2009:04:25%20GMT	https://ifixandrepair.com/drone-repairs	C:/My%20Web%20Sites/zip/ifixandrepair.com/drone-repairs.37.delayed	(from https://ifixandrepair.com/)
12:04:48	16462/16462	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/devices/drone.png	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/devices/drone.png	(from https://ifixandrepair.com/)
12:04:49	46859/46859	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2009:04:25%20GMT	https://ifixandrepair.com/repair-services/drone-repairs/	C:/My%20Web%20Sites/zip/ifixandrepair.com/repair-services/drone-repairs/index.html	(from https://ifixandrepair.com/)
12:04:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2009:04:26%20GMT	https://ifixandrepair.com/other-repairs	C:/My%20Web%20Sites/zip/ifixandrepair.com/other-repairs	(from https://ifixandrepair.com/)
12:04:49	6326/6326	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/devices/smartwatch.png	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/devices/smartwatch.png	(from https://ifixandrepair.com/)
12:04:50	42023/42023	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2009:04:26%20GMT	https://ifixandrepair.com/repair-services/other-repairs/	C:/My%20Web%20Sites/zip/ifixandrepair.com/repair-services/other-repairs/index.html	(from https://ifixandrepair.com/)
12:04:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2009:04:27%20GMT	https://ifixandrepair.com/%22https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/banner/why_choose_us.jpg%22	C:/My%20Web%20Sites/zip/ifixandrepair.com/_https_/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/banner/why_choose_us.jpg_	(from https://ifixandrepair.com/)
12:04:52	36032/36032	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Apr%202023%2009:04:28%20GMT	https://ifixandrepair.com/%22https:/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/banner/why_choose_us.jpg	C:/My%20Web%20Sites/zip/ifixandrepair.com/_https_/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/banner/why_choose_us.jpg	(from https://ifixandrepair.com/)
12:04:52	402952/402952	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/team/team.png	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/team/team.png	(from https://ifixandrepair.com/)
12:04:53	262633/262633	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/banner/12.png	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/banner/12.png	(from https://ifixandrepair.com/)
12:04:53	36032/36032	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Apr%202023%2009:04:30%20GMT	https://ifixandrepair.com/images/pattern/01.png	C:/My%20Web%20Sites/zip/ifixandrepair.com/images/pattern/01.png	(from https://ifixandrepair.com/)
12:04:53	36985/36985	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/testimonial/review_1.jpg	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/testimonial/review_1.jpg	(from https://ifixandrepair.com/)
12:04:53	32519/32519	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/testimonial/review_4.jpg	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/testimonial/review_4.jpg	(from https://ifixandrepair.com/)
12:04:53	28564/28564	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/testimonial/review_2.jpg	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/testimonial/review_2.jpg	(from https://ifixandrepair.com/)
12:04:54	32966/32966	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/testimonial/review_3.jpg	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/testimonial/review_3.jpg	(from https://ifixandrepair.com/)
